cartodb_id,the_geom,field_1,id,id2,geography,totalpop,totalpop_error,totaldispop,totaldispop2,perdispop,ambdispop,ambdispop_error,perambdispop,perambdispop2,awater,aland,lsad,name,tractce,countyfp,statefp
1360,0106000020E6100000010000000103000000010000001000000058A65F22DE7952C0BFE61C3C136844409C7FBBECD77952C04350357A35684440B1BAD573D27952C0C264AA60546844407F7D74EACA7952C06A91B41B7D6844409BC3B5DAC37952C0A15D85949F6844408074B169A57952C06A4606B98B68444082F6EAE3A17952C01F3F1BB96E6844406E9EEA909B7952C015BF29AC54684440E8D2BF24957952C0DBBA9BA73A684440EBBC8DCD8E7952C0EE53556820684440054A0A2C807952C0FF6D162F166844408BF7E3F6CB7952C09CD7D825AA6744409F698995D17952C0CDBC1C76DF6744409F6CCA15DE7952C0C8A145B6F367444001965CC5E27952C0919048DBF867444058A65F22DE7952C0BFE61C3C13684440,52,1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",6882,658,1043,241,15.2,560,177,8.9,3,0,213932,CT,83,8300,5,36
2326,0106000020E61000000100000001030000000100000007000000A1258FA7E57852C09BDCEF50146C4440EE6B2409C27852C01E645930F16B444005D847A7AE7852C08C01D9EBDD6B44402A4D4A41B77852C05F1A868F886B444099AF928FDD7852C0E99106B7B56B44409A5434D6FE7852C0828769DFDC6B4440A1258FA7E57852C09BDCEF50146C4440,256,1400000US36005036502,36005036502,"Census Tract 365.02, Bronx County, New York",2002,257,348,144,17.4,190,86,10.4,4.5,0,97659,CT,365.02,36502,5,36
2339,0106000020E61000000100000001030000000100000011000000633BDF4F8D7852C0E098654F026F444066D13B15707852C0EB6987BF266F444003DCF3FC697852C022986A662D6F4440D6F6764B727852C087EE59D7686F444021F8DF4A767852C03232C85D846F4440DD6C73637A7852C081F6EAE3A16F444039342C465D7852C081FC6CE4BA6F44405EEAE74D457852C027B7ED7BD46F44400DF27A30297852C03D9468C9E36F44404A3B35971B7852C0D2C08F6AD86F4440A483F57F0E7852C0BA7B80EECB6F4440C401F4FBFE7752C0DADFD91EBD6F4440E56C01A1F57752C0DE1797AAB46F4440C46F0A2B157852C0A9285E656D6F4440BE4351A04F7852C0C9FB389A236F44403232C85D847852C0A3F8F884EC6E4440633BDF4F8D7852C0E098654F026F4440,314,1400000US36005042500,36005042500,"Census Tract 425, Bronx County, New York",6134,655,627,294,10.2,209,113,4,2.2,0,293818,CT,425,42500,5,36
2344,0106000020E610000001000000010300000001000000090000003F4CC2853C7652C0BE22BF7E887144400147020D367652C094C9703C9F7144409920EA3E007652C046AD307DAF714440550A815CE27552C0BF9657AEB77144402683A3E4D57552C0D4743DD17571444033F0A31AF67552C01A7920B24871444062CE33F6257652C0864D64E60271444094CD1C925A7652C0F3DF83D72E7144403F4CC2853C7652C0BE22BF7E88714440,332,1400000US36005045800,36005045800,"Census Tract 458, Bronx County, New York",5243,647,1156,280,22,497,163,10.5,3.4,0,239682,CT,458,45800,5,36
960,0106000020E6100000010000000103000000010000000A0000002ADA1CE7368252C0258A90BA9D4F444009A01859328252C037639813B44F444017EAB0C22D8252C0A944D95BCA4F444019A034D4288252C0AF3BDD79E24F4440DCB5847CD08152C0A17DACE0B74F444072840CE4D98152C040CD902A8A4F4440E3486760E48152C0A3FD0FB0564F44400F069E7B0F8252C0838252B4724F4440A5457D923B8252C0E22CEC69874F44402ADA1CE7368252C0258A90BA9D4F4440,381,1400000US36047006000,36047006000,"Census Tract 60, Kings County, New York",2717,320,196,95,7.2,140,83,5.5,3.1,0,152260,CT,60,6000,47,36
79,0106000020E6100000010000000103000000010000000A000000B88B3045B97F52C01A2AC6F99B524440571822A7AF7F52C0B17DC85BAE524440BAED42739D7F52C0BB1AA034D45244401FB41EBE4C7F52C0B8DDCB7D725244404E72874D647F52C075FBAC3253524440AE97A608707F52C06BCCEB88435244400DBDC5C37B7F52C0EF2900C6335244402A2D23F59E7F52C05CF0694E5E524440770778D2C27F52C0F449EEB089524440B88B3045B97F52C01A2AC6F99B524440,415,1400000US36047011000,36047011000,"Census Tract 110, Kings County, New York",2708,327,139,49,5.1,57,31,2.3,1.3,0,158059,CT,110,11000,47,36
81,0106000020E610000001000000010300000001000000080000008A1A4CC3F08052C036C1374D9F4D4440824A5CC7B88052C06316A1D80A4E4440421B800D888052C0BC49D3A0684E44405B548B88628052C0141DC9E53F4E44403C47E4BB948052C08CCD8E54DF4D4440DAC2F352B18052C0A9B9DC60A84D4440E45C8AABCA8052C0688A00A7774D44408A1A4CC3F08052C036C1374D9F4D4440,468,1400000US36047017200,36047017200,"Census Tract 172, Kings County, New York",4040,606,553,289,13.7,352,220,9.4,5.8,0,206304,CT,172,17200,47,36
4245,0106000020E6100000010000000103000000010000000A000000A9B5300BED7B52C0B4F1272A1B5644405220B3B3E87B52C00C6C95607156444004DB8827BB7B52C0094B3CA06C564440B08A37328F7B52C026D9EA724A5644400E5F268A907B52C0C9660E492D564440DEA63FFB917B52C02C05A4FD0F56444024396057937B52C0A00E2BDCF2554440A7D903ADC07B52C056923CD7F7554440CC716E13EE7B52C0CB26C0B0FC554440A9B5300BED7B52C0B4F1272A1B564440,626,1400000US36047034500,36047034500,"Census Tract 345, Kings County, New York",2893,429,335,108,11.6,233,94,8.6,3.5,0,163599,CT,345,34500,47,36
408,0106000020E610000001000000010300000001000000070000005E5AD427B97D52C08E8CD5E6FF594440B66114048F7D52C0DD567A6D365A44408100193A767D52C0EEE53E390A5A44401E2BF86D887D52C017E8DA17D059444077793A57947D52C0777C7BD7A0594440F97DFFE6C57D52C06C35EB8CEF5944405E5AD427B97D52C08E8CD5E6FF594440,802,1400000US36047053900,36047053900,"Census Tract 539, Kings County, New York",2638,175,251,72,9.5,160,59,7.2,2.6,0,101377,CT,539,53900,47,36
1326,0106000020E61000000100000001030000000100000009000000A2755435417C52C07188B839954C44403174ECA0127C52C0AD0B3F389F4C4440D1DD7536E47B52C00C65A88AA94C44404B2CF015DD7B52C05E58FE7C5B4C4440629B5434D67B52C0A065DD3F164C4440F1B56796047C52C004DA1D520C4C4440C33E0114237C52C0FC2FD7A2054C44407FD07AF8327C52C0320D8AE6014C4440A2755435417C52C07188B839954C4440,831,1400000US36047057200,36047057200,"Census Tract 572, Kings County, New York",4954,527,781,210,15.8,511,148,11.1,3.4,0,243629,CT,572,57200,47,36
