OBJECTID,NAME,the_geom,LINE,NOTES,accessible,conn,tract_code,totalpop,aland,totaldispop,ambdispop,perdispop,perambdispop
1,Astor Place,POINT (-73.99106999861966 40.73005400028978),"['4', '6', '6d']","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",False,"set([105, 457])",1400000US36061010100,1259,175518,70,51,5.6,4.1
2,Canal Street,POINT (-74.00019299927328 40.71880300107709),"['4', '6', '6d']","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",True,"set([467, 29])",1400000US36081076901,4172,180732,297,200,7.1,5.4
3,50 Street,POINT (-73.98384899986625 40.76172799961419),"['1', '2']","1-all times, 2-nights",False,"set([94, 359])",1400000US36081005900,4174,190210,354,238,8.5,5.9
4,Bergen Street,POINT (-73.97499915116808 40.68086213682956),"['2', '3', '4']","4-nights, 3-all other times, 2-all times",False,"set([115, 116])",1400000US36081008600,2849,332283,238,140,8.4,5.2
5,Pennsylvania Avenue,POINT (-73.89488591154061 40.66471445143568),"['3', '4']","4-nights, 3-all other times",False,"set([217, 46])",1400000US36081061301,6281,713922,503,337,8.0,5.9
6,238 Street,POINT (-73.90087000018522 40.88466700064975),['1'],"1-all times, exit only northbound",False,"set([267, 271])",1400000US36081058900,4165,165272,179,97,4.3,2.7
7,Cathedral Parkway (110 Street),POINT (-73.95806670661364 40.800581558114956),"['A', 'B', 'C']","A-nights, B-weekdays and evenings, C-all times exc nights",False,"set([161, 398])",1400000US36081000700,5815,545045,276,173,4.7,3.2
8,Kingston - Throop Avenues,POINT (-73.94085899871263 40.67991899941601),"['A', 'C']","A-nights, C-all other times",False,"set([298, 127])",1400000US36081005400,5630,416542,699,414,12.4,7.8
9,65 Street,POINT (-73.8987883783301 40.74971952935675),"['E', 'M', 'R']","E-nights, R-all other times, M-weekdays and evenings",False,"set([238, 438])",1400000US36081061301,6281,713922,503,337,8.0,5.9
10,36 Street,POINT (-73.92901818461539 40.75196004401078),"['E', 'M', 'R']","E-nights, R-all other times, M-weekdays and evenings",False,"set([307, 299])",1400000US36081040100,8193,211990,439,218,5.4,3.0
